COUNTY,FacilityCarried,FeatureCrossed,BridgeNbr,DefStat,SuffRate,ADT,DIST,LENGTH,YrBuilt,InspectAgency,OWNER
AITKIN,140TH PL,PRAIRIE RIVER,01514,ADEQ,90.50,1.00,3,62,1980,AITKIN COUNTY,TWP
AITKIN,145TH PL (CEM ENT),PRAIRIE RIVER,01522,ADEQ,91.90,10.00,3,131,2003,AITKIN COUNTY,TWP
AITKIN,150TH PL,SPLIT ROCK RIVER,L5891,ADEQ,91.90,8.00,3,27,1972,AITKIN COUNTY,TWP
AITKIN,180TH AVE,COWAN BROOK,01J12,ADEQ,100.00,10.00,3,23,2000,AITKIN COUNTY,TWP
AITKIN,185TH PL,SANDY RIVER,L5910,S.D.,32.70,4.00,1,22,1967,AITKIN COUNTY,TWP
AITKIN,200TH LANE,SNAKE RIVER,01511,ADEQ,79.00,5.00,3,62,1976,AITKIN COUNTY,TWP
AITKIN,205TH LN,SNAKE RIVER,01523,ADEQ,92.50,50.00,3,49,2004,AITKIN COUNTY,TWP
AITKIN,210TH LN,SNAKE RIVER,L5965,ADEQ,69.60,8.00,3,33,1974,AITKIN COUNTY,TWP
AITKIN,230TH PL,STREAM,R0163,ADEQ,94.90,10.00,3,36,1987,AITKIN COUNTY,COUNTY
AITKIN,265TH LN,RIPPLE RIVER,95197,ADEQ,89.80,8.00,3,25,1979,AITKIN COUNTY,TWP
AITKIN,2ND AVE SE,RIPPLE RIVER,L4055,ADEQ,99.00,150.00,3,22,1930,AITKIN COUNTY,CITY
AITKIN,340TH LN,RIPPLE RIVER,L2961,S.D.,44.00,12.00,3,30,1970,AITKIN COUNTY,TWP
AITKIN,350TH AVE,MOOSE RIVER,01J21,ADEQ,100.00,15.00,3,26,2002,AITKIN COUNTY,TWP
AITKIN,350TH PL,WILLOW RIVER,L5889,ADEQ,90.90,7.00,3,79,1969,AITKIN COUNTY,TWP
AITKIN,360TH ST,SISSABAGAMAH CREEK,91791,ADEQ,100.00,29.00,3,39,1979,AITKIN COUNTY,TWP
AITKIN,362ND LN,RICE RIVER,  900,S.D.,60.70,10.00,3,73,1913,AITKIN COUNTY,TWP
AITKIN,363RD LN,RICE RIVER,L2965,ADEQ,82.70,30.00,3,125,1963,AITKIN COUNTY,OTHER
AITKIN,435TH ST,SANDY RIVER,01519,ADEQ,98.00,32.00,3,69,1995,AITKIN COUNTY,TWP
AITKIN,600TH ST,MOOSE RIVER,01J16,ADEQ,100.00,15.00,3,26,2002,AITKIN COUNTY,TWP
AITKIN,650TH ST,WILLOW RIVER,L9181,ADEQ,82.90,40.00,3,72,1971,AITKIN COUNTY,COUNTY
AITKIN,CR 51,RIPPLE RIVER,95612,ADEQ,99.90,90.00,3,29,1981,AITKIN COUNTY,COUNTY
AITKIN,CR 54,SISSABAGAMAH CREEK, 7375,ADEQ,91.00,50.00,3,24,1950,AITKIN COUNTY,COUNTY
AITKIN,CR 54,RIPPLE RIVER,01515,ADEQ,97.90,590.00,3,62,1986,AITKIN COUNTY,COUNTY
AITKIN,CR 56,RICE RIVER,01521,ADEQ,98.00,20.00,3,79,1998,AITKIN COUNTY,COUNTY
AITKIN,CR 61,CHESLEY BROOK,92918,ADEQ,89.00,45.00,3,49,1972,AITKIN COUNTY,COUNTY
AITKIN,CR 62,SANDY RIVER,01510,ADEQ,96.90,440.00,3,79,1977,AITKIN COUNTY,COUNTY
AITKIN,CR 62,SANDY RIVER,01524,ADEQ,100.00,80.00,3,121,2005,AITKIN COUNTY,COUNTY
AITKIN,CR 64,PRAIRIE RIVER,91895,ADEQ,99.90,55.00,3,70,1985,AITKIN COUNTY,COUNTY
AITKIN,CR 64,TAMARACK RIVER,91896,ADEQ,99.80,150.00,3,53,1981,AITKIN COUNTY,COUNTY
AITKIN,CR 67,LITTLE HILL RIVER,93424,ADEQ,100.00,40.00,3,29,1979,AITKIN COUNTY,COUNTY
AITKIN,CR 74,MORRISON BROOK,01J01,ADEQ,100.00,235.00,3,26,1994,AITKIN COUNTY,COUNTY
AITKIN,CSAH 1,MISS. R. DIVERSION CHAN., 7142,S.D.,49.20,390.00,3,218,1956,AITKIN COUNTY,COUNTY
AITKIN,CSAH 1,MISSISSIPPI RIVER,01506,ADEQ,96.30,1150.00,3,364,1970,AITKIN COUNTY,COUNTY
AITKIN,CSAH 1,LITTLE WILLOW RIVER,95331,ADEQ,99.90,140.00,3,26,1985,AITKIN COUNTY,COUNTY
AITKIN,CSAH 10,WILLOW RIVER,01517,ADEQ,98.00,105.00,3,144,1993,AITKIN COUNTY,COUNTY
AITKIN,CSAH 12,RIPPLE RIVER,01507,ADEQ,84.10,485.00,3,52,1970,AITKIN COUNTY,COUNTY
AITKIN,CSAH 14,PRAIRIE RIVER, 7238,S.D.,47.30,960.00,3,138,1959,AITKIN COUNTY,COUNTY
AITKIN,CSAH 14,SAVANNA RIVER,01503,ADEQ,80.70,140.00,3,26,1964,AITKIN COUNTY,COUNTY
