CASE,DATE,TIME,COUNTY,AREA,WOUND,INJURY,TYPE,CAUSE,SAGE,VAGE,FIREARM,FACTION,ALCOHOL,ALCOLEV,WEATHER,TOPOGRO,SEXPER,VEXPER,SGRADUATE,VGRADUATE,SSEX,VSEX,GUNBRND,GUNGUAGE,TEMP,MUZDIS,LAND,VORANGE,GUNSIGHT,VACTIVTY,LOCATION,PRECIP
,11/28/1993,1030,Langlade,north,chest,minor,si,shooter stumbled and fell,23,23,rifle,slide,,,clear,rolling,11,11,yes,yes,m,m,Remington,30-06,,3,pub,3,scope,walking,woods,
,11/26/1993,700,Dunn,centrl,toe,minor,si,careless handling-swinging gun,24,24,shotgun,sauto,,,cloudy,level,1,1,no,no,m,m,Browning,20 gauge,28,3,pri,2,open,tree stand,woods,
43,11/20/1993,650,Door,north,arm,minor,,victim out of sight of shooter,38,33,rifle,bolt,,,clear,rolling,10,8,yes,yes,m,m,Ruger,30-06,32,300,pri,3,scope,stander,field,
44,11/20/1993,845,Marinette,north,foot,major,si,unloading firearm-gloves,13,13,rifle,break,,,clear,rolling,2,2,yes,yes,f,f,H&R,30-30,40,3,pri,3,open,stander,field,
45,11/20/1993,915,Sauk,south,leg,major,si,careless handling-trigger caut,40,40,pistol,,,,clear,rolling,6,6,no,no,m,m,Ruger,357,40,3,pri,2,open,driver,woods,
46,11/20/1993,930,Crawford,south,arm,minor,sp,victim in line of fire,50,19,rifle,sauto,,,partly cldy,swamp,30,7,no,yes,m,m,Remington,30-06,35,1350,pri,2,open,stander,field,
47,11/20/1993,1100,Columbia,south,ankle,major,si,trigger caught on object,12,12,shotgun,sauto,,,clear,rolling,1,1,yes,yes,m,m,Remington,20 gauge,49,3,pri,2,bead,walking,field,
48,11/20/1993,1145,Washburn,north,toe,minor,si,careless handling-rifl on foot,13,13,rifle,lever,,,clear,level,1,1,yes,yes,m,m,Winchester,30-30,30,3,pri,2,open,resting,field,
49,11/20/1993,1330,Vernon,south,hand,minor,si,careless handling-hand at muzz,18,18,rifle,bolt,,,clear,rolling,1,1,yes,yes,m,m,Russian,30 cal,30,3,pri,2,open,resting,woods,
50,11/21/1993,1000,Sheboygan,south,hand,minor,si,shooter stumbled and fell,17,17,shotgun,break,,,clear,rolling,4,4,yes,yes,m,m,SS Kreske,20 gauge,40,1,pri,1,bead,walking,woods,
51,11/21/1993,1045,Dunn,centrl,toe,major,si,unloading firearm,22,22,shotgun,slide,,,clear,level,5,5,yes,yes,m,m,Sears,12 gauge,40,3,pri,2,peep,walking,field,
52,11/21/1993,1155,Portage,south,thigh,minor,sp,ricochet-tree,45,47,rifle,sauto,,,clear,slight ris,18,25,no,no,f,m,Remington,30-06,40,418,pub,3,scope,in blind,woods,
53,11/21/1993,1330,Waukesha,south,head,major,sp,victim in line of fire,33,36,shotgun,slide,,,clear,swamp,25,14,yes,no,m,m,Ithaca,12 gauge,45,720,pri,2,bead,stander,marsh,
54,11/22/1993,1045,Walworth,south,arm,minor,sp,victim in line of fire,32,56,shotgun,slide,,,clear,level,18,45,no,no,m,m,Remington,12 gauge,42,225,,2,bead,stander,field,
55,11/23/1993,1600,Sauk,south,head,fatal,sp,victim in line of fire,22,72,rifle,bolt,,,partly cldy,rolling,10,60,yes,no,m,m,Browning,280,40,174,pri,2,scope,stander,field,
56,11/25/1993,1215,Manitowoc,centrl,leg,major,sp,victim out of sight of shooter,49,41,shotgun,sauto,,,cloudy,level,34,20,no,no,m,m,Remington,12 gauge,40,300,pub,2,open,stander,field,
57,11/25/1993,1230,Dunn,centrl,hand,minor,si,careless handling-hand on muzz,16,16,shotgun,bolt,,,cloudy,level,3,3,yes,yes,m,m,Mossberg,20 gauge,32,1,pri,2,bead,sitting,woods,
<6,11/21/1992,730,Shawano,centrl,toe,minor,si,careless handling-trigger caut,25,25,shotgun,sauto,,,partly cldy,level,4,4,yes,,m,m,Remington,12 gauge,35,1,pri,2,bead,tree stand,woods,yes
37,11/21/1992,830,Waushara,centrl,arm,major,,victim in line of fire,38,43,rifle,slide,,,cloudy,level,22,32,no,no,m,m,Remington,30-06,,71,pri,3,scope,in blind,woods,
38,11/21/1992,900,Barron,north,shuldr,minor,sp,victim in line of fire,0,41,rifle,,yes,,cloudy,level,0,20,,no,,f,,,30,,pri,3,,stander,woods,
39,11/21/1992,1235,Marathon,centrl,head,fatal,sp,victim in line of fire,37,31,rifle,sauto,,,cloudy,level-road,20,20,no,yes,m,m,Remington,30-06,,400,pri,2,scope,driver,rodway,
40,11/21/1992,1300,Waupaca,centrl,thigh,minor,sp,ricochet-corn,36,25,shotgun,slide,,,cloudy,rolling,21,7,no,no,m,m,Ithaca,12 gauge,40,75,pri,3,scope,driver,field,
41,11/21/1992,1320,Buffalo,north,arm,minor,sp,ricochet-tree,18,53,shotgun,slide,,,clear,rolling,6,40,yes,no,m,m,SKB,20 gauge,25,75,pri,3,bead,stander,field,
42,11/21/1992,1400,Iowa,south,face,minor,sp,Loading firearm,16,12,rifle,lever,,,cloudy,rolling,2,1,yes,yes,m,m,Winchester,30-30,38,3,pri,2,open,resting,field,
42b,11/21/1992,1400,Iowa,south,knee,minor,sp,loading firearm,16,20,rifle,lever,,,cloudy,rolling,2,6,yes,yes,m,m,Winchester,30-30,38,3,pri,2,open,resting,field,
42c,11/21/1992,1400,Iowa,south,thigh,minor,sp,loading firearm,16,44,rifle,lever,,,cloudy,rolling,2,20,yes,no,m,m,Winchester,30-30,38,3,pri,2,open,resting,field,
43,11/21/1992,1400,Waupaca,centrl,thigh,minor,sp,victim out of sight of shooter,61,37,shotgun,slide,,,cloudy,rolling,45,20,no,no,m,m,Sears,12 gauge,42,280,pri,2,peep,in blind,field,
44,11/22/1992,700,Calumet,centrl,foot,major,si,careless handling-fell asleep,19,19,shotgun,slide,yes,0.06,cloudy,level,7,0,yes,,m,m,Mossberg,20 gauge,35,3,pri,3,bead,tree stand,wooded,
45,11/22/1992,710,Monroe,south,thigh,major,sp,victim in line of fire,36,43,shotgun,slide,,,cloudy,level,15,33,no,no,m,m,Remington,12 gauge,40,0,pub,2,open,stander,wooded,
46,11/22/1992,745,Sawyer,north,scrotm,minor,,victim out of sight of shooter,,16,unknown,unknwn,,,cloudy,rolling,0,3,,yes,,m,,,30,,pub,3,,stander,wooded,
47,11/22/1992,900,Fond du lac,south,thigh,minor,sp,ricochet-bullet thru deer,20,27,shotgun,slide,,,cloudy,level,6,13,no,,m,m,Mossberg,12 gauge,35,150,pri,,bead,tree stand,field,
48,11/22/1992,930,Portage,south,butt,minor,,bullet enters home thru window,,59,rifle,unknwn,,,cloudy,rolling,0,0,,,,f,,30,30,,pri,,,in home,wooded,
49,11/22/1992,1215,Langlade,north,toe,major,si,nonhunter handed loaded gun,25,25,rifle,lever,,,cloudy,level,0,1,no,,m,m,Winchester,30-30,30,1,pri,,open,,wooded,yes
50,11/22/1992,1430,St. Croix,north,thumb,major,si,defective firearm-gun explodes,28,28,shotgun,sauto,,,cloudy,level,15,0,no,no,m,m,Smith&Wesson,12 gauge,32,1,pri,2,scope,sit on log,wooded,
51,11/22/1992,1430,Iowa,south,ear,minor,si,defective firearm-barrel expld,19,19,rifle,bolt,,,cloudy,rolling,6,6,yes,yes,m,m,Eddystone Enf,30-06,,3,pri,2,scope,walking,field,yes
52,11/23/1992,1130,Green,south,chest,major,sp,victim in line of fire,34,36,shotgun,slide,??,,clear,swamp,0,0,unk,unk,m,m,Remington,12 gauge,45,160,pri,3,scope,driver,swamp,
53,11/23/1992,1500,Adams,south,foot,major,si,uncasing loaded gun,35,35,pistol,sauto,yes,0,clear,level,22,0,unk,,m,m,Ruger,44,,1,pri,,peep,resting,wooded,
54,11/24/1992,1300,Rusk,north,arm,major,si,careless handling-tree involvd,27,27,rifle,lever,,,cloudy,level,15,0,yes,,m,m,Winchester,30-30,38,1,,1,open,tree stand,wooded,
55,11/24/1992,1345,Polk,north,head,fatal,sp,victim out of sight of shooter,18,16,rifle,lever,,,cloudy,rolling,6,4,yes,yes,m,m,Savage,308,40,200,pri,2,scope,tree stand,field,
56,11/25/1992,1630,Portage,south,toe,major,si,unloading gun,13,13,rifle,lever,,,cloudy,level,1,0,yes,,m,m,Winchester,30-30,32,1,pri,2,open,resting,backyd,
57,11/27/1992,900,Vilas,north,head,fatal,si,careless handling-dropped gun,14,14,rifle,bolt,,,clear,hill,2,2,yes,yes,m,m,Remington,243,30,1,pub,3,scope,stander,wooded,
58,11/27/1992,935,Polk,north,shuldr,major,si,careless handling-tree involvd,38,38,rifle,lever,,,clear,,25,0,yes,,m,m,Winchester,30-30,25,2,pri,3,open,tree stand,wooded,
59,11/27/1992,1100,Fond du lac,south,arm,major,sp,victim in line of fire,22,22,shotgun,sauto,,,ptly cloudy,level,8,8,no,yes,m,m,Remington,16 gauge,20,,pri,3,bead,stander,field,
60,11/27/1992,1205,Buffalo,centrl,head,major,sp,victim out of sight of shooter,29,31,rifle,lever,,,clear,rolling,17,19,yes,no,m,m,Marlin,30-30,30,155,pri,3,open,stander,field,
61,11/27/1992,1545,Marathon,centrl,thigh,major,sp,ricochet-bullet thru deer,28,32,rifle,sauto,,,cloudy,rolling,16,20,yes,yes,m,m,Remington,30-06,33,55,pub,2,open,driver,forest,
62,11/28/1992,900,Shawano,centrl,leg,major,sp,victim in line of fire,19,33,shotgun,sauto,,,clear,rolling,7,20,yes,no,m,m,Remington,12 gauge,28,61,pri,3,open,driver,wooded,
63,11/28/1992,1015,Waushara,centrl,leg,minor,sp,ricochet-tree,33,27,rifle,sauto,,,clear,level,21,27,yes,yes,m,m,Browning,270,,149,pri,2,scope,stander,wooded,
64,11/28/1992,1100,Pierce,centrl,leg,major,sp,victim out of sight of shooter,17,42,shotgun,slide,,,clear,swamp,6,28,yes,yes,m,m,Remington,12 gauge,40,76,pub,3,open,driver,,
65,11/28/1992,1345,LaCrosse,south,leg,major,sp,victim mistaken for deer,18,21,shotgun,slide,,,clear,rolling,6,8,yes,no,m,m,Remington,12 gauge,30,28,pri,2,open,driver,wooded,
66,11/29/1992,800,Door,north,foot,major,,Bullet strikes victim in car,63,46,rifle,sauto,,,cloudy,rolling,45,30,no,no,m,m,Remington,308,24,1289,pri,2,scope,in vehicle,field,
67,11/29/1992,935,Columbia,south,leg,minor,,victim out of sight of shooter,,40,rifle,unknwn,,,cloudy,level,0,28,,yes,,m,,30,25,300,pub,2,,resting,wooded,
68,11/29/1992,1150,St. Croix,north,leg,major,sp,victim in line of fire,18,29,shotgun,slide,,,cloudy,swamp,7,0,yes,,m,m,Mossberg,12 gauge,32,93,pri,2,bead,driver,wooded,
45,11/23/1991,830,Waupaca,centrl,thigh,major,sp,careless handling-safety off,41,33,shotgun,sauto,,,cloudy,rolling,25,12,no,no,m,m,Remington,12 gauge,32,3,pri,2,open,at ded der,field,
46,11/23/1991,1330,Dunn,centrl,toe,minor,si,shooter stumbled and fell,31,31,shotgun,slide,,,cloudy,level,19,19,yes,yes,m,m,Winchester,12 gauge,26,3,pri,3,scope,at vehicle,field,yes
47,11/23/1991,1330,Forest,north,chest,major,si,loading firearm-gloves,15,15,rifle,lever,,,cloudy,level,2,2,yes,yes,m,m,Winchester,30-30,27,3,pub,3,open,at vehicle,road,yes
48,11/24/1991,630,Manitowoc,centrl,foot,major,si,careless handling-tree involvd,40,40,shotgun,slide,,,cloudy,swamp,15,15,no,no,m,m,Ithaca,20 gauge,28,3,pri,3,scope,tree stand,woods,yes
49,11/24/1991,1225,Polk,north,hip,major,,victim out of sight of shooter,,28,rifle,,,,clear,rolling,0,14,,no,,m,,,13,1724,pri,2,,at vehicle,field,
