Years    ,Women,Men,Pct Women
1971-72    ,1,200,0.5%
1973-74    ,6,195,3%
1975-76    ,8,193,4%
1977-78    ,13,188,6%
1979-80    ,20,181,10%
1981-82    ,24,177,12%
1983-84    ,28,173,14%
1985-86    ,29,172,14%
1987-88    ,31,170,15%
1989-90    ,39,162,19%
1991-92    ,43,158,21%
1993-94    ,55,146,27%
1995-96    ,51,150,25%
1997-98    ,63,138,31%
1999-00    ,58,143,29%
2001-02    ,60,141,30%
2003-04    ,55,146,27%
2005-06    ,63,138,31%
2007-08    ,70,131,35%
2009-10    ,70,131,35%
2011-12    ,69,132,34%
2013-14    ,68,133,34%
