OriginalAddress,AddressNumber,StreetName,StreetNamePostType,IntersectionSeparator,SecondStreetName,StreetNamePostDirectional,Recipient,StreetNamePreType,Unable to parse,OccupancyIdentifier,AddressNumberSuffix,StreetNamePreDirectional
163X CONWAY ST ,163X,CONWAY,ST,,,,,,,,,
173X OLDHUDSON RD ,173X,OLDHUDSON,RD,,,,,,,,,
3 ST E & KENNARD,3,ST E,,&,KENNARD,,,,,,,
41X VANDYKE ST ,41X,VANDYKE,ST,,,,,,,,,
191X BURNS AV ,191X,BURNS,AV,,,,,,,,,
186X OLDHUDSON RD ,186X,OLDHUDSON,RD,,,,,,,,,
219X DOUGLYNN LA ,219X,DOUGLYNN,LA,,,,,,,,,
176X WILSON AV ,176X,WILSON,AV,,,,,,,,,
174X SUBURBAN AV ,174X,SUBURBAN,AV,,,,,,,,,
215X WILSON AV ,215X,WILSON,AV,,,,,,,,,
184X OLDHUDSON RD ,184X,OLDHUDSON,RD,,,,,,,,,
187X WILSON AV ,187X,WILSON,AV,,,,,,,,,
27X BIRMINGHAM ST ,27X,BIRMINGHAM,ST,,,,,,,,,
58X MCKNIGHT RD S,58X,MCKNIGHT,RD,,,S,,,,,,
48X HAZEL ST N,48X,HAZEL,ST,,,N,,,,,,
192X FOXRIDGE RD ,192X,FOXRIDGE,RD,,,,,,,,,
212X OLDHUDSON RD ,212X,OLDHUDSON,RD,,,,,,,,,
193X FOXRIDGE RD ,193X,FOXRIDGE,RD,,,,,,,,,
191X BURNS AV ,191X,BURNS,AV,,,,,,,,,
151X PACIFIC ST ,151X,PACIFIC,ST,,,,,,,,,
212X FREMONT AV ,212X,FREMONT,AV,,,,,,,,,
211X FREMONT AV ,211X,FREMONT,AV,,,,,,,,,
219X LOWERAFTON RD ,219X,LOWERAFTON,RD,,,,,,,,,
17X VALLEYSIDE DR ,17X,VALLEYSIDE,DR,,,,,,,,,
193X BURNS AV ,193X,BURNS,AV,,,,,,,,,
154X 6 ST E,154X,6,ST,,,E,,,,,,
154X 6 ST E,154X,6,ST,,,E,,,,,,
195X BURNS AV ,195X,BURNS,AV,,,,,,,,,
219X OLDHUDSON RD ,219X,OLDHUDSON,RD,,,,,,,,,
191X BURNS AV ,191X,BURNS,AV,,,,,,,,,
210X 4 ST E,210X,4,ST,,,E,,,,,,
212X OLDHUDSON RD ,212X,OLDHUDSON,RD,,,,,,,,,
149X 6 ST E,149X,6,ST,,,E,,,,,,
132X PTDOUGLAS RD S,132X,PTDOUGLAS,RD,,,S,,,,,,
174X SUBURBAN AV ,174X,SUBURBAN,AV,,,,,,,,,
165X MINNEHAHA AV E,165X,MINNEHAHA,AV,,,E,,,,,,
178X UPPERAFTON RD ,178X,UPPERAFTON,RD,,,,,,,,,
BATTLECREEK RD  & PARKRIDGE,,BATTLECREEK,RD,&,PARKRIDGE,,,,,,,
21X MCKNIGHT RD S,21X,MCKNIGHT,RD,,,S,,,,,,
21X MCKNIGHT RD S,21X,MCKNIGHT,RD,,,S,,,,,,
208X OLDHUDSON RD ,208X,OLDHUDSON,RD,,,,,,,,,
39X LUELLA ST ,39X,LUELLA,ST,,,,,,,,,
208X OLDHUDSON RD ,208X,OLDHUDSON,RD,,,,,,,,,
8X UPPERAFTON TE ,8X,UPPERAFTON,TE,,,,,,,,,
162X UPPERAFTON RD ,162X,UPPERAFTON,RD,,,,,,,,,
68X HAZEL ST N,68X,HAZEL,ST,,,N,,,,,,
160X SUBURBAN AV ,160X,SUBURBAN,AV,,,,,,,,,
206X WILSON AV ,206X,WILSON,AV,,,,,,,,,
206X WILSON AV ,206X,WILSON,AV,,,,,,,,,
207X LOWERAFTON RD ,207X,LOWERAFTON,RD,,,,,,,,,
167X REDROCK RD ,167X,REDROCK,RD,,,,,,,,,
30X HAZELWOOD ST ,30X,HAZELWOOD,ST,,,,,,,,,
223X GLENRIDGE AV ,223X,GLENRIDGE,AV,,,,,,,,,
219X HILLSDALE AV ,219X,HILLSDALE,AV,,,,,,,,,
172X MINNEHAHA AV E,172X,MINNEHAHA,AV,,,E,,,,,,
212X NORTHPARK DR ,212X,NORTHPARK,DR,,,,,,,,,
213X OLDHUDSON RD ,213X,OLDHUDSON,RD,,,,,,,,,
199X SUBURBAN AV ,199X,SUBURBAN,AV,,,,,,,,,
209X CONWAY ST ,209X,CONWAY,ST,,,,,,,,,
8X MCKNIGHT RD N,8X,MCKNIGHT,RD,,,N,,,,,,
207X UPPERAFTON RD ,207X,UPPERAFTON,RD,,,,,,,,,
177X OLDHUDSON RD ,177X,OLDHUDSON,RD,,,,,,,,,
36X LUELLA ST ,36X,LUELLA,ST,,,,,,,,,
207X UPPERAFTON RD ,207X,UPPERAFTON,RD,,,,,,,,,
175X SUBURBAN AV ,175X,SUBURBAN,AV,,,,,,,,,
36X LUELLA ST ,36X,LUELLA,ST,,,,,,,,,
178X WILSON AV ,178X,WILSON,AV,,,,,,,,,
221X GLENRIDGE AV ,221X,GLENRIDGE,AV,,,,,,,,,
164X CONWAY ST ,164X,CONWAY,ST,,,,,,,,,
219X OLDHUDSON RD ,219X,OLDHUDSON,RD,,,,,,,,,
198X SUBURBAN AV ,198X,SUBURBAN,AV,,,,,,,,,
91X WINTHROP ST S,91X,WINTHROP,ST,,,S,,,,,,
174X SUBURBAN AV ,174X,SUBURBAN,AV,,,,,,,,,
RUTH ST  & SUBURBAN,,RUTH,ST,&,SUBURBAN,,,,,,,
164X REDROCK RD ,164X,REDROCK,RD,,,,,,,,,
215X WILSON AV ,215X,WILSON,AV,,,,,,,,,
SUBURBAN AV  & WHITEBEAR,,SUBURBAN,AV,&,WHITEBEAR,,,,,,,
219X OLDHUDSON RD ,219X,OLDHUDSON,RD,,,,,,,,,
27X PEDERSEN ST ,27X,PEDERSEN,ST,,,,,,,,,
215X WILSON AV ,215X,WILSON,AV,,,,,,,,,
171X 5 ST E,171X,5,ST,,,E,,,,,,
144X MINNEHAHA AV E,144X,MINNEHAHA,AV,,,E,,,,,,
208X OLDHUDSON RD ,208X,OLDHUDSON,RD,,,,,,,,,
173X WILSON AV ,173X,WILSON,AV,,,,,,,,,
219X OLDHUDSON RD ,219X,OLDHUDSON,RD,,,,,,,,,
174X SUBURBAN AV ,174X,SUBURBAN,AV,,,,,,,,,
184X OLDHUDSON RD ,184X,OLDHUDSON,RD,,,,,,,,,
61 HW  & LOWERAFTON,61,HW,,&,LOWERAFTON,,,,,,,
157X PACIFIC ST ,157X,PACIFIC,ST,,,,,,,,,
208X OLDHUDSON RD ,208X,OLDHUDSON,RD,,,,,,,,,
174X FREMONT AV ,174X,FREMONT,AV,,,,,,,,,
154X MINNEHAHA AV E,154X,MINNEHAHA,AV,,,E,,,,,,
219X OLDHUDSON RD ,219X,OLDHUDSON,RD,,,,,,,,,
161X BEECH ST ,161X,BEECH,ST,,,,,,,,,
161X CONWAY ST ,161X,CONWAY,ST,,,,,,,,,
186X CONWAY ST ,186X,CONWAY,ST,,,,,,,,,
214X BURNS AV ,214X,BURNS,AV,,,,,,,,,
215X WILSON AV ,215X,WILSON,AV,,,,,,,,,
208X OLDHUDSON RD ,208X,OLDHUDSON,RD,,,,,,,,,
151X MARGARET ST ,151X,MARGARET,ST,,,,,,,,,
28X KENNARD ST ,28X,KENNARD,ST,,,,,,,,,
151X MARGARET ST ,151X,MARGARET,ST,,,,,,,,,
188X WILSON AV ,188X,WILSON,AV,,,,,,,,,
218X LONDIN LA ,,,,,,,218X LONDIN LA,,,,,
215X WILSON AV ,215X,WILSON,AV,,,,,,,,,
LOWERAFTON RD  & MCKNIGHT,,LOWERAFTON,RD,&,MCKNIGHT,,,,,,,
168X FREMONT AV ,168X,FREMONT,AV,,,,,,,,,
181X MARGARET ST ,181X,MARGARET,ST,,,,,,,,,
48X HAZEL ST N,48X,HAZEL,ST,,,N,,,,,,
48X HAZEL ST N,48X,HAZEL,ST,,,N,,,,,,
199X SUBURBAN AV ,199X,SUBURBAN,AV,,,,,,,,,
219X OLDHUDSON RD ,219X,OLDHUDSON,RD,,,,,,,,,
158X BURG AV ,158X,BURG,AV,,,,,,,,,
158X BURG AV ,158X,BURG,AV,,,,,,,,,
162X 6 ST E,162X,6,ST,,,E,,,,,,
48X HAZEL ST N,48X,HAZEL,ST,,,N,,,,,,
40X LUELLA ST ,40X,LUELLA,ST,,,,,,,,,
219X OLDHUDSON RD ,219X,OLDHUDSON,RD,,,,,,,,,
206X WILSON AV ,206X,WILSON,AV,,,,,,,,,
152X 6 ST E,152X,6,ST,,,E,,,,,,
206X WILSON AV ,206X,WILSON,AV,,,,,,,,,
206X WILSON AV ,206X,WILSON,AV,,,,,,,,,
142X PACIFIC ST ,142X,PACIFIC,ST,,,,,,,,,
206X WILSON AV ,206X,WILSON,AV,,,,,,,,,
188X WILSON AV ,188X,WILSON,AV,,,,,,,,,
220X BURNS AV ,220X,BURNS,AV,,,,,,,,,
16X MCKNIGHT RD N,16X,MCKNIGHT,RD,,,N,,,,,,
152X UPPERAFTON RD ,152X,UPPERAFTON,RD,,,,,,,,,
199X SUBURBAN AV ,199X,SUBURBAN,AV,,,,,,,,,
23X MCKNIGHT RD S,23X,MCKNIGHT,RD,,,S,,,,,,
213X OLDHUDSON RD ,213X,OLDHUDSON,RD,,,,,,,,,
DORA CT E & UPPERAFTON,,DORA,CT,&,UPPERAFTON,E,,,,,,
4X LUELLA ST ,4X,LUELLA,ST,,,,,,,,,
177X OLDHUDSON RD ,177X,OLDHUDSON,RD,,,,,,,,,
21X MCKNIGHT RD S,21X,MCKNIGHT,RD,,,S,,,,,,
135X REDROCK RD ,135X,REDROCK,RD,,,,,,,,,
43X VANDYKE ST ,43X,VANDYKE,ST,,,,,,,,,
16X MCKNIGHT RD N,16X,MCKNIGHT,RD,,,N,,,,,,
