"ID","NAME","TREASURER","ADDRESS1","ADDRESS2","CITY","STATE","ZIP","DESIGNATE","TYPE","PARTY","FILEFREQ","INTEREST","CONNECTED","CAND_ID","COMMCODE"
"C00035519","BIPARTISAN VOLUNTARY PUBLIC AFFAIRS COMMITTEE OF PNC BANK N.A.","Varmecky, Ronald E.","PNCBANKPAC","249 Fifth Avenue P1-POPP-24-1","Pittsburgh","PA","15222","U","Q","UNK","Q","C","PNC BANK NATIONAL ASSOCIATION",,
"C00035535","CONSUMER BANKERS ASSOCIATION POLITICAL ACTION COMMITTEE, THE","JAYNE E HUNT","1000 WILSON BLVD SUITE 2500",,"ARLINGTON","VA","22209","U","Q","UNK","Q","T","BANKERS ASSOCIATION; THE CONSUMER",,
"C00035600","IOWA DEMOCRATIC PARTY","Sagar, Ken","5661 Fleur Drive",,"Des Moines","IA","50321","U","Y","DEM","M",,"Committee for Change",,
"C00035618","VERMONT REPUBLICAN FEDERAL ELECTIONS COMMITTEE","Webster, Steve","P.O. BOX 70","100 STATE STREET","MONTPELIER","VT","05601","U","Y","REP","M",,"VERMONT CONGRESSIONAL VICTORY COMMITTE",,
"C00035675","BRISTOL-MYERS SQUIBB CO. EMPLOYEE PAC","Reilly, Joseph","345 Park Avenue",,"New York","NY","10154","U","Q","UNK","M","C","Bristol-Myers Squibb Company",,
"C00035683","UNITED TECHNOLOGIES CORPORATION POLITICAL ACTION COMMITTEE","Becker, Darby","1401 I Stree NW","Suite 600","Washington","DC","20005","U","Q","NNE","M","C","UNITED TECHNOLOGIES CORP",,
"C00035691","HALLIBURTON COMPANY PAC","L.J. LAND","1150 18th St. NW","Suite 200","Washington","DC","20036","U","Q",,"M","C","Halliburton Company",,
"C00035766","OREGON MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE","GALLANT, SCOTT","11740 SW 68TH PARKWAY","SUITE 100","PORTLAND","OR","97223","U","Q",,"Q","T","Oregon Medical Association",,
"C00035774","MAGAZINE PUBLISHERS OF AMERICA PAC FKA MAGAZINE PUBLISHES ASSOCIATION PAC","Cregan, James","1211 CONNECTICUT AVENUE NW STE 610",,"WASHINGTON","DC","20036","U","Q","UNK","Q","T","MAGAZINE PUBLISHERS ASS'N",,
"C00035857","WHEELING-PITTSBURGH STEEL PAC","PAUL J MOONEY","1134 Market Street","12th Floor","Wheeling","WV","26003","U","Q",,"Q","C","WHEELING PITTSBURGH STEEL CORPORATION",,
