PursuitID	Age	Gender	AgeNotes	SubjectType	InjuryType
1007	1	MALE		Violator Passengers	No Injury
1370	1	FEMALE		Violator Passengers	No Injury
1645	1	MALE		Violator Passengers	No Injury
2216	1	Male		Violator Passengers	No Injury
2400	1	Male		Violator Passengers	No Injury
2646	1	Female		Violator Passengers	Unknown
2685	1	Male		Violator Passengers	No Injury
2378	1	Female		Violator Passengers	No Injury
3041	1	Female		Violator Passengers	No Injury
3050	1	Male		Violator Passengers	Unknown
4438	1	F - Female		Violator Passengers	No Injury
4659	1	M - Male		Violator Passengers	No Injury
646	2	Male		Violator Passengers	No Injury
1269	2	MALE		Violator Passengers	No Injury
3050	2	Male		Violator Passengers	Unknown
4140	2	M - Male		Party in Unrelated Vehicle	No Injury
4182	2	F - Female		Violator Passengers	Non-incapacitating Injury
4664	2	M - Male		Violator Passengers	No Injury
4859	2	M - Male		Violator Passengers	No Injury
5792	2	M - Male		Violator Passengers	No Injury
6121	2	M - Male		Party in Unrelated Vehicle	Possible Injury
6415	2	M - Male		Violator Passengers	No Injury
369	3	Female		Violator Passengers	No Injury
1123	3	FEMALE		Party in Unrelated Vehicle	Incapacitating Injury
1986	3	MALE		Violator Passengers	No Injury
2216	3	Female		Violator Passengers	No Injury
2228	3	Male		Violator Passengers	No Injury
2292	3	Male		Violator Passengers	No Injury
2685	3	Male		Violator Passengers	No Injury
5267	3	M - Male		Violator Passengers	No Injury
6116	3	F - Female		Violator Passengers	No Injury
1123	4	FEMALE		Party in Unrelated Vehicle	Incapacitating Injury
1152	4	FEMALE		Violator Passengers	No Injury
2646	4	Female		Violator Passengers	Unknown
3041	4	Female		Violator Passengers	No Injury
3832	4	M - Male		Violator Passengers	No Injury
4140	4	F - Female		Party in Unrelated Vehicle	Possible Injury
4347	4	M - Male		Violator Passengers	No Injury
4438	4	M - Male		Violator Passengers	No Injury
4664	4	M - Male		Violator Passengers	No Injury
4870	4	F - Female		Unrelated Pedestrian	Possible Injury
5792	4	M - Male		Violator Passengers	No Injury
6415	4	M - Male		Violator Passengers	No Injury
6744	4	F - Female		Party in Unrelated Vehicle	No Injury
2179	5	MALE		Violator Passengers	No Injury
2633	5	Male		Violator Passengers	Unknown
4438	5	F - Female		Violator Passengers	No Injury
661	6	Female		Party in Unrelated Vehicle	No Injury
792	6	Male		Violator Passengers	No Injury
1263	6	MALE		Violator Passengers	No Injury
1336	6	FEMALE		Violator Passengers	No Injury
1928	6	FEMALE		Violator Passengers	No Injury
4140	6	F - Female		Party in Unrelated Vehicle	Possible Injury
4438	6	M - Male		Violator Passengers	Non-incapacitating Injury
4140	7	M - Male		Party in Unrelated Vehicle	Possible Injury
4624	7	F - Female		Violator Passengers	No Injury
5276	7	F - Female		Violator Passengers	No Injury
5849	7	F - Female		Party in Unrelated Vehicle	Incapacitating Injury
1387	8	FEMALE		Violator	No Injury
1928	8	MALE		Violator Passengers	No Injury
4438	8	F - Female		Violator Passengers	No Injury
5766	8	M - Male		Party in Unrelated Vehicle	Non-incapacitating Injury
5792	8	M - Male		Violator Passengers	No Injury
6109	8	M - Male		Violator Passengers	No Injury
2009	9	MALE		Violator Passengers	No Injury
4664	9	F - Female		Violator Passengers	No Injury
6744	9	F - Female		Party in Unrelated Vehicle	No Injury
792	10	Male		Violator Passengers	No Injury
906	10	MALE		Violator Passengers	No Injury
1552	10	FEMALE		Violator Passengers	No Injury
1645	10	FEMALE		Violator Passengers	No Injury
1868	10	MALE		Violator Passengers	Non-incapacitating Injury
2720	10	Male		Violator Passengers	Unknown
3673	10	Male		Violator Passengers	No Injury
4090	10	M - Male		Violator Passengers	No Injury
5276	10	F - Female		Violator Passengers	No Injury
6533	10	F - Female		Violator Passengers	Non-incapacitating Injury
6536	10	F - Female		Violator Passengers	Unknown
6654	10	F - Female		Violator Passengers	Unknown
6660	10	M - Male		Violator Passengers	No Injury
642	11	Male		Violator Passengers	No Injury
1438	11	MALE		Violator Passengers	No Injury
1928	11	MALE		Violator Passengers	No Injury
2009	11	MALE		Violator Passengers	No Injury
2499	11	Male		Violator Passengers	No Injury
4664	11	F - Female		Violator Passengers	No Injury
5225	11	F - Female		Violator Passengers	No Injury
5225	11	F - Female		Violator Passengers	No Injury
7120	11	F - Female		Violator Passengers	No Injury
858	12	MALE		Violator Passengers	No Injury
943	12	FEMALE		Violator Passengers	No Injury
1023	12	MALE		Violator Passengers	No Injury
1137	12	FEMALE		Violator	No Injury
1391	12	MALE		Violator Passengers	No Injury
2351	12	Male		Violator Passengers	No Injury
2714	12	Male		Violator Passengers	No Injury
2788	12	Male		Violator	No Injury
3004	12	Male		Violator	No Injury
3166	12	Male		Violator	No Injury
3623	12	Male		Violator Passengers	No Injury
3899	12	M - Male		Violator Passengers	No Injury
5276	12	M - Male		Violator Passengers	No Injury
5792	12	F - Female		Violator Passengers	No Injury
5878	12	F - Female		Violator Passengers	No Injury
5878	12	F - Female		Violator Passengers	No Injury
5882	12	M - Male		Violator Passengers	No Injury
6396	12	M - Male		Violator	No Injury
6739	12	F - Female		Violator Passengers	No Injury
6839	12	M - Male		Violator Passengers	No Injury
155	13	Female		Violator Passengers	No Injury
473	13	Female		Violator Passengers	Non-incapacitating Injury
622	13	Male		Violator Passengers	No Injury
642	13	Male		Violator Passengers	No Injury
677	13	Male		Violator	Non-incapacitating Injury
728	13	Male		Violator	No Injury
770	13	Female		Violator Passengers	No Injury
956	13	MALE		Violator Passengers	No Injury
1055	13	MALE		Violator	No Injury
1055	13	MALE		Violator Passengers	No Injury
1137	13	FEMALE		Violator Passengers	No Injury
1137	13	FEMALE		Violator Passengers	Non-incapacitating Injury
1209	13	FEMALE		Violator Passengers	No Injury
678	13	MALE		Violator	No Injury
1438	13	MALE		Violator	No Injury
1868	13	MALE		Violator	Non-incapacitating Injury
1868	13	MALE		Violator Passengers	Non-incapacitating Injury
1927	13	FEMALE		Violator Passengers	No Injury
2051	13	MALE		Violator	No Injury
2991	13	Male		Violator	Non-incapacitating Injury
3613	13	Male		Violator	No Injury
3665	13	Female		Violator Passengers	No Injury
3910	13	M - Male		Violator	No Injury
4219	13	M - Male		Violator Passengers	No Injury
4313	13	M - Male		Violator Passengers	No Injury
4362	13	M - Male		Violator Passengers	Possible Injury
4398	13	F - Female		Violator Passengers	No Injury
5355	13	M - Male		Violator Passengers	No Injury
5690	13	M - Male		Violator Passengers	No Injury
5849	13	M - Male		Party in Unrelated Vehicle	Non-incapacitating Injury
6242	13	M - Male		Violator Passengers	Unknown
6620	13	M - Male		Violator	Non-incapacitating Injury
7120	13	F - Female		Violator	No Injury
7161	13	M - Male		Violator Passengers	No Injury
325	14	Female		Violator Passengers	No Injury
373	14	Male		Violator Passengers	No Injury
376	14	Male		Violator	No Injury
627	14	Male		Violator	No Injury
681	14	Male		Violator Passengers	No Injury
709	14	Female		Violator Passengers	No Injury
728	14	Male		Violator	No Injury
728	14	Male		Violator	No Injury
784	14	Female		Violator	No Injury
807	14	MALE		Violator	Unknown
862	14	MALE		Violator Passengers	No Injury
905	14	MALE		Violator Passengers	No Injury
943	14	MALE		Violator	No Injury
963	14	MALE		Violator	No Injury
963	14	MALE		Violator Passengers	No Injury
963	14	MALE		Violator Passengers	No Injury
982	14	MALE		Violator Passengers	No Injury
1010	14	MALE		Violator	No Injury
1055	14	MALE		Violator	No Injury
1078	14	MALE		Violator	No Injury
1080	14	MALE		Violator	No Injury
1096	14	MALE		Violator Passengers	No Injury
1209	14	FEMALE		Violator Passengers	Possible Injury
1227	14	MALE		Violator Passengers	No Injury
1262	14	FEMALE		Violator Passengers	Fatal
1315	14	FEMALE		Violator Passengers	No Injury
1317	14	MALE		Violator	No Injury
1401	14	MALE		Violator	No Injury
1408	14	MALE		Violator Passengers	No Injury
1447	14	MALE		Violator	No Injury
1630	14	FEMALE		Violator Passengers	No Injury
1773	14	MALE		Violator	No Injury
1773	14	MALE		Violator Passengers	No Injury
1791	14	MALE		Violator	No Injury
1801	14	MALE		Violator	No Injury
1816	14	FEMALE		Violator Passengers	No Injury
1926	14	MALE		Violator Passengers	No Injury
1929	14	MALE		Violator	Unknown
1929	14	FEMALE		Violator Passengers	Unknown
1929	14	FEMALE		Violator Passengers	Unknown
2029	14	MALE		Violator	No Injury
2051	14	MALE		Violator Passengers	No Injury
2060	14	MALE		Violator	No Injury
2060	14	MALE		Violator Passengers	No Injury
2062	14	MALE		Violator	No Injury
2062	14	MALE		Violator Passengers	No Injury
2235	14	Male		Violator Passengers	No Injury
2248	14	Male		Violator	No Injury
2248	14	Male		Violator Passengers	No Injury
2303	14	Female		Violator Passengers	No Injury
2366	14	Male		Violator	No Injury
2366	14	Male		Violator Passengers	No Injury
2454	14	Male		Violator	No Injury
2577	14	Male		Violator Passengers	No Injury
2577	14	Male		Violator Passengers	No Injury
2641	14	Male		Violator Passengers	Unknown
2641	14	Male		Violator Passengers	Unknown
2803	14	Male		Violator	No Injury
3020	14	Male		Violator	No Injury
3020	14	Male		Violator Passengers	No Injury
3143	14	Female		Violator Passengers	No Injury
3163	14	Male		Violator	No Injury
3350	14	Male		Violator	No Injury
3395	14	Male		Violator	No Injury
3404	14	Male		Violator	No Injury
3471	14	Female		Violator Passengers	No Injury
3594	14	Male		Violator	Non-incapacitating Injury
3623	14	Male		Violator	No Injury
3678	14	Male		Violator	No Injury
3694	14	Male		Violator	No Injury
3892	14	M - Male		Violator Passengers	Incapacitating Injury
3911	14	M - Male		Violator	No Injury
4017	14	M - Male		Violator Passengers	No Injury
4167	14	F - Female		Violator Passengers	No Injury
4196	14	M - Male		Violator	Possible Injury
4298	14	M - Male		Violator	No Injury
4351	14	M - Male		Violator	No Injury
4362	14	M - Male		Violator Passengers	No Injury
4369	14	M - Male		Violator	No Injury
4396	14	M - Male		Violator Passengers	No Injury
4398	14	M - Male		Violator	No Injury
4412	14	M - Male		Violator Passengers	Possible Injury
4503	14	M - Male		Violator	No Injury
4599	14	M - Male		Violator Passengers	No Injury
4692	14	M - Male		Violator Passengers	No Injury
4701	14	F - Female		Violator Passengers	No Injury
4796	14	F - Female		Violator	Possible Injury
4676	14	M - Male		Violator Passengers	No Injury
4854	14	M - Male		Violator	No Injury
4854	14	M - Male		Violator Passengers	No Injury
4854	14	M - Male		Violator Passengers	No Injury
4999	14	M - Male		Violator	No Injury
4999	14	F - Female		Violator Passengers	No Injury
5117	14	M - Male		Violator Passengers	No Injury
5151	14	M - Male		Violator	No Injury
5177	14	F - Female		Violator Passengers	No Injury
5177	14	F - Female		Violator Passengers	No Injury
5225	14	F - Female		Violator Passengers	No Injury
5252	14	M - Male		Violator Passengers	Unknown
5335	14	M - Male		Violator Passengers	No Injury
