Id,Id2,Geography,HousingUnits
1600000US2700172,2700172,"Ada city, Minnesota",835
1600000US2700190,2700190,"Adams city, Minnesota",351
1600000US2700262,2700262,"Adrian city, Minnesota",527
1600000US2700316,2700316,"Afton city, Minnesota",1027
1600000US2700460,2700460,"Aitkin city, Minnesota",969
1600000US2700496,2700496,"Akeley city, Minnesota",234
1600000US2700622,2700622,"Albany city, Minnesota",732
1600000US2700676,2700676,"Alberta city, Minnesota",56
1600000US2700694,2700694,"Albert Lea city, Minnesota",8133
1600000US2700730,2700730,"Albertville city, Minnesota",1318
1600000US2700838,2700838,"Alden city, Minnesota",295
1600000US2700892,2700892,"Aldrich city, Minnesota",31
1600000US2700928,2700928,"Alexandria city, Minnesota",4311
1600000US2701162,2701162,"Alpha city, Minnesota",61
1600000US2701234,2701234,"Altura city, Minnesota",172
1600000US2701252,2701252,"Alvarado city, Minnesota",179
1600000US2701324,2701324,"Amboy city, Minnesota",268
1600000US2701486,2701486,"Andover city, Minnesota",8205
1600000US2701684,2701684,"Annandale city, Minnesota",1163
1600000US2701720,2701720,"Anoka city, Minnesota",7398
1600000US2701864,2701864,"Appleton city, Minnesota",860
1600000US2701900,2701900,"Apple Valley city, Minnesota",16536
1600000US2701972,2701972,"Arco city, Minnesota",51
1600000US2702026,2702026,"Arden Hills city, Minnesota",3017
1600000US2702134,2702134,"Argyle city, Minnesota",284
1600000US2702152,2702152,"Arlington city, Minnesota",859
1600000US2702260,2702260,"Arnold CDP, Minnesota",1123
1600000US2702422,2702422,"Ashby city, Minnesota",202
1600000US2702548,2702548,"Askov city, Minnesota",181
1600000US2702692,2702692,"Atwater city, Minnesota",475
1600000US2702728,2702728,"Audubon city, Minnesota",191
1600000US2702872,2702872,"Aurora city, Minnesota",893
1600000US2702908,2702908,"Austin city, Minnesota",10261
1600000US2703052,2703052,"Avoca city, Minnesota",73
1600000US2703070,2703070,"Avon city, Minnesota",492
1600000US2703106,2703106,"Babbitt city, Minnesota",801
1600000US2703124,2703124,"Backus city, Minnesota",194
1600000US2703160,2703160,"Badger city, Minnesota",228
1600000US2703196,2703196,"Bagley city, Minnesota",603
1600000US2703250,2703250,"Balaton city, Minnesota",296
1600000US2703574,2703574,"Barnesville city, Minnesota",923
1600000US2703628,2703628,"Barnum city, Minnesota",249
1600000US2703682,2703682,"Barrett city, Minnesota",163
1600000US2703718,2703718,"Barry city, Minnesota",17
1600000US2703970,2703970,"Battle Lake city, Minnesota",407
1600000US2704024,2704024,"Baudette city, Minnesota",540
1600000US2704042,2704042,"Baxter city, Minnesota",1979
1600000US2704114,2704114,"Bayport city, Minnesota",789
1600000US2704204,2704204,"Beardsley city, Minnesota",148
1600000US2704456,2704456,"Beaver Bay city, Minnesota",139
1600000US2704492,2704492,"Beaver Creek city, Minnesota",112
1600000US2704618,2704618,"Becker city, Minnesota",967
1600000US2704672,2704672,"Bejou city, Minnesota",46
1600000US2704762,2704762,"Belgrade city, Minnesota",342
1600000US2704798,2704798,"Bellechester city, Minnesota",78
1600000US2704834,2704834,"Belle Plaine city, Minnesota",1424
1600000US2704960,2704960,"Bellingham city, Minnesota",112
1600000US2705014,2705014,"Beltrami city, Minnesota",48
1600000US2705050,2705050,"Belview city, Minnesota",170
1600000US2705068,2705068,"Bemidji city, Minnesota",4948
1600000US2705104,2705104,"Bena city, Minnesota",72
1600000US2705212,2705212,"Benson city, Minnesota",1566
1600000US2705482,2705482,"Bertha city, Minnesota",228
1600000US2705554,2705554,"Bethel city, Minnesota",155
1600000US2705644,2705644,"Bigelow city, Minnesota",96
1600000US2705680,2705680,"Big Falls city, Minnesota",191
1600000US2705698,2705698,"Bigfork city, Minnesota",226
1600000US2705752,2705752,"Big Lake city, Minnesota",2206
1600000US2705896,2705896,"Bingham Lake city, Minnesota",65
1600000US2706058,2706058,"Birchwood Village city, Minnesota",366
1600000US2706076,2706076,"Bird Island city, Minnesota",530
1600000US2706112,2706112,"Biscay city, Minnesota",48
1600000US2706148,2706148,"Biwabik city, Minnesota",492
1600000US2706256,2706256,"Blackduck city, Minnesota",324
1600000US2706382,2706382,"Blaine city, Minnesota",16169
1600000US2706490,2706490,"Blomkest city, Minnesota",70
1600000US2706580,2706580,"Blooming Prairie city, Minnesota",774
1600000US2706616,2706616,"Bloomington city, Minnesota",37104
1600000US2706688,2706688,"Blue Earth city, Minnesota",1666
1600000US2706778,2706778,"Bluffton city, Minnesota",77
1600000US2706814,2706814,"Bock city, Minnesota",48
1600000US2707030,2707030,"Borup city, Minnesota",50
1600000US2707048,2707048,"Bovey city, Minnesota",326
1600000US2707066,2707066,"Bowlus city, Minnesota",111
1600000US2707138,2707138,"Boyd city, Minnesota",116
1600000US2707174,2707174,"Boy River city, Minnesota",27
1600000US2707282,2707282,"Braham city, Minnesota",566
1600000US2707300,2707300,"Brainerd city, Minnesota",5847
1600000US2707336,2707336,"Brandon city, Minnesota",199
1600000US2707462,2707462,"Breckenridge city, Minnesota",1582
1600000US2707516,2707516,"Breezy Point city, Minnesota",899
1600000US2707660,2707660,"Brewster city, Minnesota",218
1600000US2707678,2707678,"Bricelyn city, Minnesota",208
1600000US2707948,2707948,"Brooklyn Center city, Minnesota",11598
1600000US2707966,2707966,"Brooklyn Park city, Minnesota",24846
1600000US2707984,2707984,"Brook Park city, Minnesota",61
1600000US2708038,2708038,"Brooks city, Minnesota",64
1600000US2708056,2708056,"Brookston city, Minnesota",38
1600000US2708092,2708092,"Brooten city, Minnesota",338
1600000US2708110,2708110,"Browerville city, Minnesota",337
1600000US2708164,2708164,"Brownsdale city, Minnesota",312
1600000US2708200,2708200,"Browns Valley city, Minnesota",317
1600000US2708218,2708218,"Brownsville city, Minnesota",273
1600000US2708254,2708254,"Brownton city, Minnesota",344
1600000US2708290,2708290,"Bruno city, Minnesota",56
1600000US2708416,2708416,"Buckman city, Minnesota",75
1600000US2708452,2708452,"Buffalo city, Minnesota",3871
1600000US2708488,2708488,"Buffalo Lake city, Minnesota",313
1600000US2708524,2708524,"Buhl city, Minnesota",432
1600000US2708794,2708794,"Burnsville city, Minnesota",24261
1600000US2708902,2708902,"Burtrum city, Minnesota",82
1600000US2708992,2708992,"Butterfield city, Minnesota",235
1600000US2709154,2709154,"Byron city, Minnesota",1206
1600000US2709226,2709226,"Caledonia city, Minnesota",1286
1600000US2709280,2709280,"Callaway city, Minnesota",77
1600000US2709316,2709316,"Calumet city, Minnesota",178
1600000US2709370,2709370,"Cambridge city, Minnesota",2373
1600000US2709496,2709496,"Campbell city, Minnesota",110
1600000US2709604,2709604,"Canby city, Minnesota",918
1600000US2709730,2709730,"Cannon Falls city, Minnesota",1611
1600000US2709802,2709802,"Canton city, Minnesota",171
1600000US2709964,2709964,"Carlos city, Minnesota",153
1600000US2710018,2710018,"Carlton city, Minnesota",325
1600000US2710144,2710144,"Carver city, Minnesota",467
1600000US2710252,2710252,"Cass Lake city, Minnesota",384
1600000US2710468,2710468,"Cedar Mills city, Minnesota",27
1600000US2710576,2710576,"Center City city, Minnesota",214
1600000US2710648,2710648,"Centerville city, Minnesota",1094
1600000US2710792,2710792,"Ceylon city, Minnesota",189
1600000US2710846,2710846,"Champlin city, Minnesota",7514
1600000US2710900,2710900,"Chandler city, Minnesota",121
1600000US2710918,2710918,"Chanhassen city, Minnesota",7013
