Id,Id2,Geography,HousingUnits,MOE
1600000US2700172,2700172,"Ada city, Minnesota",815,34
1600000US2700190,2700190,"Adams city, Minnesota",369,45
1600000US2700262,2700262,"Adrian city, Minnesota",540,39
1600000US2700316,2700316,"Afton city, Minnesota",1162,86
1600000US2700460,2700460,"Aitkin city, Minnesota",1270,85
1600000US2700496,2700496,"Akeley city, Minnesota",243,42
1600000US2700622,2700622,"Albany city, Minnesota",1151,84
1600000US2700676,2700676,"Alberta city, Minnesota",56,16
1600000US2700694,2700694,"Albert Lea city, Minnesota",8584,146
1600000US2700730,2700730,"Albertville city, Minnesota",2196,167
1600000US2700838,2700838,"Alden city, Minnesota",330,41
1600000US2700892,2700892,"Aldrich city, Minnesota",25,12
1600000US2700928,2700928,"Alexandria city, Minnesota",6068,224
1600000US2701162,2701162,"Alpha city, Minnesota",86,43
1600000US2701234,2701234,"Altura city, Minnesota",184,31
1600000US2701252,2701252,"Alvarado city, Minnesota",164,31
1600000US2701324,2701324,"Amboy city, Minnesota",310,35
1600000US2701486,2701486,"Andover city, Minnesota",10228,180
1600000US2701558,2701558,"Angle Inlet CDP, Minnesota",123,47
1600000US2701684,2701684,"Annandale city, Minnesota",1414,153
1600000US2701720,2701720,"Anoka city, Minnesota",7432,306
1600000US2701864,2701864,"Appleton city, Minnesota",822,52
1600000US2701900,2701900,"Apple Valley city, Minnesota",19672,370
1600000US2701972,2701972,"Arco city, Minnesota",52,15
1600000US2702026,2702026,"Arden Hills city, Minnesota",3167,199
1600000US2702134,2702134,"Argyle city, Minnesota",293,39
1600000US2702152,2702152,"Arlington city, Minnesota",990,69
1600000US2702260,2702260,"Arnold CDP, Minnesota",1346,118
1600000US2702422,2702422,"Ashby city, Minnesota",230,38
1600000US2702548,2702548,"Askov city, Minnesota",227,39
1600000US2702692,2702692,"Atwater city, Minnesota",443,56
1600000US2702728,2702728,"Audubon city, Minnesota",242,37
1600000US2702872,2702872,"Aurora city, Minnesota",939,75
1600000US2702908,2702908,"Austin city, Minnesota",10779,172
1600000US2703052,2703052,"Avoca city, Minnesota",68,17
1600000US2703070,2703070,"Avon city, Minnesota",607,59
1600000US2703106,2703106,"Babbitt city, Minnesota",839,21
1600000US2703124,2703124,"Backus city, Minnesota",200,49
1600000US2703160,2703160,"Badger city, Minnesota",287,43
1600000US2703196,2703196,"Bagley city, Minnesota",760,42
1600000US2703214,2703214,"Baker CDP, Minnesota",28,11
1600000US2703250,2703250,"Balaton city, Minnesota",340,48
1600000US2703376,2703376,"Ball Club CDP, Minnesota",146,53
1600000US2703574,2703574,"Barnesville city, Minnesota",1154,84
1600000US2703628,2703628,"Barnum city, Minnesota",283,54
1600000US2703682,2703682,"Barrett city, Minnesota",207,31
1600000US2703718,2703718,"Barry city, Minnesota",30,16
1600000US2703970,2703970,"Battle Lake city, Minnesota",544,54
1600000US2704024,2704024,"Baudette city, Minnesota",554,65
1600000US2704042,2704042,"Baxter city, Minnesota",3273,164
1600000US2704114,2704114,"Bayport city, Minnesota",1387,123
1600000US2704204,2704204,"Beardsley city, Minnesota",121,27
1600000US2704348,2704348,"Beaulieu CDP, Minnesota",43,18
1600000US2704456,2704456,"Beaver Bay city, Minnesota",141,34
1600000US2704492,2704492,"Beaver Creek city, Minnesota",132,28
1600000US2704618,2704618,"Becker city, Minnesota",1646,156
1600000US2704672,2704672,"Bejou city, Minnesota",38,11
1600000US2704762,2704762,"Belgrade city, Minnesota",373,40
1600000US2704798,2704798,"Bellechester city, Minnesota",92,21
1600000US2704834,2704834,"Belle Plaine city, Minnesota",2723,175
1600000US2704960,2704960,"Bellingham city, Minnesota",119,23
1600000US2705014,2705014,"Beltrami city, Minnesota",53,18
1600000US2705050,2705050,"Belview city, Minnesota",195,27
1600000US2705068,2705068,"Bemidji city, Minnesota",6247,290
1600000US2705104,2705104,"Bena city, Minnesota",60,40
1600000US2705212,2705212,"Benson city, Minnesota",1617,92
