"Minnesota County Population Projections by Age and Gender, 2015-2045",,,,,,,,,,,,,,,,,,,,,,
"Minnesota State Demographic Center, March 2014",,,,,,,,,,,,,,,,,,,,,,
Megan Dayton,,,,,,,,,,,,,,,,,,,,,,
14-Mar,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,2015,2015,2015,2020,2020,2020,2025,2025,2025,2030,2030,2030,2035,2035,2035,2040,2040,2040,2045,2045,2045
,,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female
,,"5,497,933","2,744,505","2,753,428","5,677,582","2,848,611","2,828,971","5,841,619","2,941,139","2,900,480","5,982,601","3,020,154","2,962,447","6,093,729","3,082,739","3,010,990","6,175,801","3,130,115","3,045,686","6,234,930","3,165,445","3,069,485"
Aitkin,Total,"17,460","8,878","8,582","17,488","8,911","8,577","17,086","8,704","8,382","16,477","8,397","8,080","15,809","8,081","7,728","15,327","7,839","7,488","15,076","7,702","7,374"
,0 to 4,808,414,394,841,431,410,865,443,422,876,449,427,873,447,426,880,451,429,905,464,441
,5 to 9,833,441,392,800,410,390,821,421,400,846,433,413,860,441,419,866,444,422,883,453,430
,10 to 14,773,427,346,833,440,393,790,404,386,813,416,397,840,430,410,862,441,421,879,450,429
,15 to 19,"1,011",505,506,902,514,388,950,520,430,907,484,423,932,497,435,968,516,452,"1,003",534,469
,20 to 24,619,318,301,762,360,402,643,363,280,696,372,324,659,341,318,691,357,334,736,380,356
,25 to 29,572,280,292,615,300,315,750,339,411,635,343,292,689,354,335,658,325,333,699,346,353
,30 to 34,826,420,406,712,369,343,746,384,362,879,422,457,766,427,339,827,441,386,806,417,389
,35 to 39,630,343,287,820,413,407,698,358,340,732,373,359,866,412,454,761,421,340,832,440,392
,40 to 44,636,352,284,629,345,284,810,410,400,690,356,334,727,373,354,867,415,452,773,429,344
,45 to 49,987,456,531,639,355,284,626,344,282,804,408,396,688,356,332,731,376,355,884,424,460
,50 to 54,"1,284",654,630,977,447,530,621,342,279,608,331,277,788,397,391,679,348,331,731,373,358
,55 to 59,"1,397",736,661,"1,273",648,625,955,437,518,605,333,272,596,325,271,780,393,387,681,349,332
,60 to 64,"1,416",741,675,"1,397",735,662,"1,257",639,618,947,433,514,605,332,273,600,326,274,795,400,395
