Rk,Player,Pos,Tm,Cap Hit
1,Kirk Cousins\CousKi00,QB,WAS,$23943600
2,Trumaine Johnson\JohnTr05,CB,LAR,$16742400
3,Von Miller\MillVo00,LB,DEN,$16500000
,Josh Norman\NormJo01,CB,WAS,$16500000
5,Justin Houston\HousJu00,LB,KAN,$16350000
6,Matt Ryan\RyanMa00,QB,ATL,$15750000
7,Carson Palmer\PalmCa00,QB,ARI,$15500000
8,Muhammad Wilkerson\WilkMu00,DT,NYJ,$14750000
9,Sam Bradford\BradSa00,QB,MIN,$14000000
10,Malik Jackson\JackMa02,DT,JAX,$13500000
11,Gerald McCoy\McCoGe99,DT,TAM,$13250000
12,Cam Newton\NewtCa00,QB,CAR,$13166666
13,Andy Dalton\DaltAn00,QB,CIN,$13100000
14,Drew Brees\BreeDr00,QB,NOR,$13000000
,Dez Bryant\BryaDe01,WR,DAL,$13000000
,Eli Manning\MannEl00,QB,NYG,$13000000
17,Janoris Jenkins\JenkJa03,CB,NYG,$12900000
18,Ezekiel Ansah\AnsaEz00,DE,DET,$12734000
19,Russell Wilson\WilsRu00,QB,SEA,$12600000
20,Aaron Rodgers\RodgAa00,QB,GNB,$12550000
21,Le'Veon Bell\BellLe00,RB,PIT,$12120000
22,Ben Roethlisberger\RoetBe00,QB,PIT,$12000000
23,Olivier Vernon\VernOl00,DE,NYG,$11750000
24,Julio Jones\JoneJu02,WR,ATL,$11500000
25,Richard Sherman\SherRi00,DB,SEA,$11431000
26,Trent Williams\WillTr21,T,WAS,$11250000
27,Larry Fitzgerald\FitzLa00,WR,ARI,$11000000
,Aqib Talib\TaliAq99,DB,DEN,$11000000
,Philip Rivers\RivePh00,QB,LAC,$11000000
30,Alex Smith\SmitAl03,QB,KAN,$10800000
31,J.J. Watt\WattJ.00,DE,HOU,$10500000
32,A.J. Green\GreeA.00,WR,CIN,$10300000
33,Clay Matthews\MattCl99,LB,GNB,$10100000
34,Ndamukong Suh\SuhxNd99,DT,MIA,$9985000
35,Marcell Dareus\DareMa00,DT,2TM,$9750000
,Patrick Peterson\PetePa00,CB,ARI,$9750000
37,Duane Brown\BrowDu20,G,2TM,$9400000
38,Calais Campbell\CampCa99,DE,JAX,$9000000
,Cordy Glenn\GlenCo00,T,BUF,$9000000
,Vontae Davis\DaviVo99,DB,IND,$9000000
41,Justin Pugh\PughJu00,OG,NYG,$8821000
42,Joe Thomas\ThomJo28,T,CLE,$8800000
43,Damon Harrison\HarrDa03,DT,NYG,$8750000
44,Randall Cobb\CobbRa00,WR,GNB,$8600000
45,Demaryius Thomas\ThomDe03,WR,DEN,$8500000
,Earl Thomas\ThomEa99,DB,SEA,$8500000
,Byron Maxwell\MaxwBy00,DB,2TM,$8500000
48,Alec Ogletree\OgleAl00,OLB,LAR,$8369000
49,Joe Staley\StalJo20,T,SFO,$8250000
,Jordy Nelson\NelsJo00,WR,GNB,$8250000
,Ryan Kerrigan\KerrRy00,DE,WAS,$8250000
52,Sheldon Richardson\RichSh00,DT,SEA,$8069000
53,Xavier Rhodes\RhodXa00,CB,MIN,$8026000
54,Corey Liuget\LiugCo00,DT,LAC,$8000000
,T.Y. Hilton\HiltT.00,WR,IND,$8000000
,Mike Glennon\GlenMi00,QB,CHI,$8000000
,DeAndre Hopkins\HopkDe00,WR,HOU,$8000000
,Mike Iupati\IupaMi20,G,ARI,$8000000
59,Mike Pouncey\PounMi00,OL,MIA,$7950000
60,Jimmy Graham\GrahJi00,TE,SEA,$7900000
61,Lane Johnson\JohnLa01,OT,PHI,$7750000
62,Andrew Whitworth\WhitAn20,T,LAR,$7500000
,Tyrod Taylor\TaylTy00,QB,BUF,$7500000
,Dontari Poe\PoexDo00,DT,ATL,$7500000
,Maurkice Pouncey\PounMa20,C,PIT,$7500000
66,Jason Witten\WittJa00,TE,DAL,$7400000
,Chris Harris\HarrCh01,CB,DEN,$7400000
68,Luke Kuechly\KuecLu00,ILB,CAR,$7363324
69,Geno Atkins\AtkiGe99,DT,CIN,$7300000
70,Tyrone Crawford\CrawTy00,DE,DAL,$7250000
71,Chandler Jones\JoneCh03,DE,ARI,$7000000
,Marvin Jones\JoneMa02,WR,DET,$7000000
,Cameron Jordan\JordCa00,DE,NOR,$7000000
,Vinny Curry\CurrVi00,DE,PHI,$7000000
,Akiem Hicks\HickAk00,DE,CHI,$7000000
,Allen Hurns\HurnAl01,WR,JAX,$7000000
77,Dominique Rodgers-Cromartie\RodgDo99,DB,NYG,$6980000
78,Pernell McPhee\McPhPe00,DL,CHI,$6950000
79,Cameron Wake\WakeCa00,LB,MIA,$6875000
80,Eric Fisher\FishEr00,OT,KAN,$6857977
81,Star Lotulelei\LotuSt00,DT,CAR,$6757000
82,Emmanuel Sanders\SandEm00,WR,DEN,$6750000
83,Kelechi Osemele\OsemKe00,T,OAK,$6700000
84,Bennie Logan\LogaBe00,DT,KAN,$6680000
85,Vontaze Burfict\BurfVo00,LB,CIN,$6535529
86,Nate Solder\SoldNa00,T,NWE,$6500000
,Johnathan Joseph\JoseJo20,DB,HOU,$6500000
,Kareem Jackson\JackKa99,DB,HOU,$6500000
,Devin McCourty\McCoDe99,DB,NWE,$6500000
,Greg Olsen\OlseGr00,TE,CAR,$6500000
,DeSean Jackson\JackDe00,WR,TAM,$6500000
,Jared Veldheer\VeldJa20,T,ARI,$6500000
,Jermey Parnell\ParnJe00,T,JAX,$6500000
,Rodney Hudson\HudsRo00,OL,OAK,$6500000
,Michael Bennett\BennMi99,DE,SEA,$6500000
,Brandon Graham\GrahBr99,DE,PHI,$6500000
97,Kyle Williams\WillKy20,DT,BUF,$6300000
98,Kyle Long\LongKy00,OT,CHI,$6250000
