periodyear	naicstitle	areaname	ownertitle	Employees	Establishments	TotalWages	Avg Weekly Wage
2014	"Total, All Industries"	Minnesota                       	"Total, All Ownerships                   "	"2,729,438"	"164,409"	"$140,857,248,755"	$992.00
2013	"Total, All Industries"	Minnesota                       	"Total, All Ownerships                   "	"2,692,117"	"162,932"	"$134,908,826,231"	$964.00
2012	"Total, All Industries"	Minnesota                       	"Total, All Ownerships                   "	"2,644,935"	"162,333"	"$130,512,007,746"	$949.00
2011	"Total, All Industries"	Minnesota                       	"Total, All Ownerships                   "	"2,603,526"	"164,616"	"$124,588,797,669"	$920.00
2010	"Total, All Industries"	Minnesota                       	"Total, All Ownerships                   "	"2,563,391"	"162,998"	"$119,843,972,134"	$899.00
2009	"Total, All Industries"	Minnesota                       	"Total, All Ownerships                   "	"2,572,442"	"163,283"	"$116,508,146,275"	$871.00
2008	"Total, All Industries"	Minnesota                       	"Total, All Ownerships                   "	"2,680,530"	"168,418"	"$122,818,790,156"	$881.00
2007	"Total, All Industries"	Minnesota                       	"Total, All Ownerships                   "	"2,688,406"	"168,130"	"$119,285,436,179"	$853.00
2006	"Total, All Industries"	Minnesota                       	"Total, All Ownerships                   "	"2,676,793"	"171,282"	"$112,921,460,291"	$811.00
2005	"Total, All Industries"	Minnesota                       	"Total, All Ownerships                   "	"2,637,323"	"167,305"	"$107,714,426,206"	$785.00
2004	"Total, All Industries"	Minnesota                       	"Total, All Ownerships                   "	"2,602,623"	"160,548"	"$105,102,504,705"	$776.00
2003	"Total, All Industries"	Minnesota                       	"Total, All Ownerships                   "	"2,578,050"	"158,459"	"$99,494,890,576"	$742.00
2002	"Total, All Industries"	Minnesota                       	"Total, All Ownerships                   "	"2,584,722"	"156,785"	"$96,822,201,080"	$720.00
2001	"Total, All Industries"	Minnesota                       	"Total, All Ownerships                   "	"2,611,675"	"156,322"	"$95,573,040,769"	$704.00
2000	"Total, All Industries"	Minnesota                       	"Total, All Ownerships                   "	"2,608,844"	"156,083"	"$92,436,655,611"	$681.00
2014	Construction	Minnesota                       	"Total, All Ownerships                   "	114283	16189	6731579149	1130
2013	Construction	Minnesota                       	"Total, All Ownerships                   "	107364	15946	6144880065	1098
2012	Construction	Minnesota                       	"Total, All Ownerships                   "	101595	16069	5642207249	1067
2011	Construction	Minnesota                       	"Total, All Ownerships                   "	98604	16965	5291093364	1029
2010	Construction	Minnesota                       	"Total, All Ownerships                   "	95168	16949	4951196530	1000
2009	Construction	Minnesota                       	"Total, All Ownerships                   "	100829	17048	5284834441	1008
2008	Construction	Minnesota                       	"Total, All Ownerships                   "	117549	18159	6200881270	1015
2007	Construction	Minnesota                       	"Total, All Ownerships                   "	127290	18482	6437802752	972
2006	Construction	Minnesota                       	"Total, All Ownerships                   "	134416	19180	6444235164	921
2005	Construction	Minnesota                       	"Total, All Ownerships                   "	136357	18988	6283261014	884
2004	Construction	Minnesota                       	"Total, All Ownerships                   "	135413	18395	6289969602	890
2003	Construction	Minnesota                       	"Total, All Ownerships                   "	131854	17484	5984870209	871
2002	Construction	Minnesota                       	"Total, All Ownerships                   "	131877	16909	5901650771	860
2001	Construction	Minnesota                       	"Total, All Ownerships                   "	130882	16483	5753040698	844
2000	Construction	Minnesota                       	"Total, All Ownerships                   "	126892	16208	5395119538	817
2014	Education and Health Services	Minnesota                       	"Total, All Ownerships                   "	673556	17971	31246691447	892
2013	Education and Health Services	Minnesota                       	"Total, All Ownerships                   "	665156	17983	30107858872	869
2012	Education and Health Services	Minnesota                       	"Total, All Ownerships                   "	651479	17646	29185149277	861
2011	Education and Health Services	Minnesota                       	"Total, All Ownerships                   "	641181	17363	27963635168	838
2010	Education and Health Services	Minnesota                       	"Total, All Ownerships                   "	635345	16856	27545046471	833
2009	Education and Health Services	Minnesota                       	"Total, All Ownerships                   "	630942	16707	26908254269	819
2008	Education and Health Services	Minnesota                       	"Total, All Ownerships                   "	620311	16646	25973605064	805
2007	Education and Health Services	Minnesota                       	"Total, All Ownerships                   "	603674	16221	24668543960	785
2006	Education and Health Services	Minnesota                       	"Total, All Ownerships                   "	589875	17048	23130002427	754
2005	Education and Health Services	Minnesota                       	"Total, All Ownerships                   "	570322	15961	21452678032	723
2004	Education and Health Services	Minnesota                       	"Total, All Ownerships                   "	557533	15166	20653405770	712
2003	Education and Health Services	Minnesota                       	"Total, All Ownerships                   "	547852	15012	19609057426	688
2002	Education and Health Services	Minnesota                       	"Total, All Ownerships                   "	535926	14601	18681938475	670
2001	Education and Health Services	Minnesota                       	"Total, All Ownerships                   "	518317	14285	17394323628	644
2000	Education and Health Services	Minnesota                       	"Total, All Ownerships                   "	497361	14023	16081132100	621
2014	Financial Activities	Minnesota                       	"Total, All Ownerships                   "	176024	15222	14882390908	1627
2013	Financial Activities	Minnesota                       	"Total, All Ownerships                   "	179665	15461	14573601632	1561
2012	Financial Activities	Minnesota                       	"Total, All Ownerships                   "	175981	15497	14301498757	1565
2011	Financial Activities	Minnesota                       	"Total, All Ownerships                   "	172026	15980	12876877523	1440
2010	Financial Activities	Minnesota                       	"Total, All Ownerships                   "	170728	16277	12097522908	1363
2009	Financial Activities	Minnesota                       	"Total, All Ownerships                   "	171550	16712	11686190947	1310
2008	Financial Activities	Minnesota                       	"Total, All Ownerships                   "	175589	17633	12220562151	1339
2007	Financial Activities	Minnesota                       	"Total, All Ownerships                   "	178565	18429	12589420099	1356
2006	Financial Activities	Minnesota                       	"Total, All Ownerships                   "	179628	18819	11669365294	1250
2005	Financial Activities	Minnesota                       	"Total, All Ownerships                   "	178750	18232	11051356119	1190
2004	Financial Activities	Minnesota                       	"Total, All Ownerships                   "	176282	17417	10675578140	1165
2003	Financial Activities	Minnesota                       	"Total, All Ownerships                   "	175175	16910	10127526535	1112
2002	Financial Activities	Minnesota                       	"Total, All Ownerships                   "	170721	16396	9268960678	1044
2001	Financial Activities	Minnesota                       	"Total, All Ownerships                   "	168972	15959	9128905654	1040
2000	Financial Activities	Minnesota                       	"Total, All Ownerships                   "	164650	15756	8338775212	974
2014	Information	Minnesota                       	"Total, All Ownerships                   "	56371	3477	3821807951	1303
2013	Information	Minnesota                       	"Total, All Ownerships                   "	57033	3391	3717019020	1253
2012	Information	Minnesota                       	"Total, All Ownerships                   "	57275	3371	3635006956	1220
2011	Information	Minnesota                       	"Total, All Ownerships                   "	57211	3420	3690884895	1240
2010	Information	Minnesota                       	"Total, All Ownerships                   "	57908	3403	3512070138	1166
2009	Information	Minnesota                       	"Total, All Ownerships                   "	58756	3406	3448118002	1128
2008	Information	Minnesota                       	"Total, All Ownerships                   "	61528	3413	3609014556	1128
2007	Information	Minnesota                       	"Total, All Ownerships                   "	61788	3352	3586131639	1116
2006	Information	Minnesota                       	"Total, All Ownerships                   "	61891	3307	3450574064	1072
2005	Information	Minnesota                       	"Total, All Ownerships                   "				
2004	Information	Minnesota                       	"Total, All Ownerships                   "				
2003	Information	Minnesota                       	"Total, All Ownerships                   "	64353	3056	3095017222	925
2002	Information	Minnesota                       	"Total, All Ownerships                   "	70901	3115	3308092234	897
2001	Information	Minnesota                       	"Total, All Ownerships                   "	73813	3241	3416657663	890
2000	Information	Minnesota                       	"Total, All Ownerships                   "	73467	3213	3347722963	876
2014	Leisure and Hospitality	Minnesota                       	"Total, All Ownerships                   "	269403	14337	5144231853	367
2013	Leisure and Hospitality	Minnesota                       	"Total, All Ownerships                   "	266000	14253	4923709160	356
