,dataYear,schoolid,districtnumber,schoolnumber,k12enrollment,districtType,schoolClassification,subject,cntTested,cntlev1,cntlev2,cntlev3,cntlev4,K12Enr,FreeLunch,PctPoverty,PovertyCategory,numproficient,PctProf,Notes,predicted,residual,pctminority,districtname,schoolname,SchoolType,Grades,Metro7county,Location,SchoolLocationCountyName,categoryname
1,17-18,0001-03-180,0001,180,499,03,10,M,236,54,36,67,79,499,270,0.5411,High,146,0.618644068,Included,0.509782484,0.108861584,0.5491,MINNEAPOLIS,DOWLING ELEMENTARY,Elementary (PK-6),KG-05,yes,CORE CITIES,HENNEPIN,Better than expected
2,17-18,0011-01-404,0011,404,447,01,10,M,210,49,36,71,54,447,287,0.6421,High,125,0.595238095,Included,0.456468351,0.138769745,0.4318,ANOKA-HENNEPIN,HAMILTON ELEMENTARY,Elementary (PK-6),KG-05,yes,SUBURBS,ANOKA,Better than expected
3,17-18,0011-01-408,0011,408,451,01,10,M,208,31,30,70,77,451,242,0.5366,High,147,0.706730769,Included,0.512157866,0.194572903,0.2794,ANOKA-HENNEPIN,LINCOLN ELEMENTARY,Elementary (PK-6),KG-05,yes,SUBURBS,ANOKA,Better than expected
4,17-18,0011-01-412,0011,412,406,01,10,M,219,30,43,83,63,406,210,0.5172,High,146,0.666666667,Included,0.522398403,0.144268264,0.3202,ANOKA-HENNEPIN,MISSISSIPPI ELEMENTARY,Elementary (PK-6),KG-05,yes,SUBURBS,ANOKA,Better than expected
5,17-18,0011-01-413,0011,413,655,01,10,M,356,46,68,125,117,655,329,0.5023,High,242,0.679775281,Included,0.530263557,0.149511724,0.6916,ANOKA-HENNEPIN,MONROE ELEMENTARY,Elementary (PK-6),KG-05,yes,SUBURBS,HENNEPIN,Better than expected
6,17-18,0011-01-418,0011,418,610,01,10,M,292,50,43,125,74,580,309,0.5328,High,199,0.681506849,Included,0.514163745,0.167343105,0.4393,ANOKA-HENNEPIN,UNIVERSITY ELEMENTARY,Elementary (PK-6),KG-05,yes,SUBURBS,ANOKA,Better than expected
7,17-18,0014-01-550,0014,550,576,01,10,M,238,56,50,106,26,576,418,0.7257,High,132,0.554621849,Included,0.412339028,0.142282821,0.6424,FRIDLEY,STEVENSON ELEMENTARY,Elementary (PK-6),KG-04,yes,SUBURBS,ANOKA,Better than expected
8,17-18,0191-01-488,0191,488,328,01,10,M,168,35,25,65,43,304,163,0.5362,High,108,0.642857143,Included,0.512369011,0.130488131,0.5685,BURNSVILLE,RAHN ELEMENTARY,Elementary (PK-6),KG-06,yes,SUBURBS,DAKOTA,Better than expected
9,17-18,0197-01-815,0197,815,408,01,10,M,153,29,29,58,37,389,242,0.6221,High,95,0.620915033,Included,0.467025605,0.153889428,0.6455,WEST ST PAUL-MENDOTA HTS-EAGAN,MORELAND ART/HEALTH SCIENCE MAGNET,Elementary (PK-6),KG-04,yes,SUBURBS,DAKOTA,Better than expected
10,17-18,0280-01-695,0280,695,470,01,10,M,226,63,61,74,28,419,366,0.8735,High,102,0.451327434,Included,0.33432092,0.117006514,0.865,RICHFIELD,CENTENNIAL ELEMENTARY,Elementary (PK-6),KG-05,yes,SUBURBS,HENNEPIN,Better than expected
11,17-18,0621-01-030,0621,030,536,01,10,M,320,64,58,129,69,536,286,0.5336,High,198,0.61875,Included,0.513741454,0.105008546,0.4776,MOUNDS VIEW,PINEWOOD ELEMENTARY,Elementary (PK-6),01-05,yes,SUBURBS,RAMSEY,Better than expected
12,17-18,0622-01-027,0622,027,557,01,10,M,269,33,39,131,66,523,300,0.5736,High,197,0.732342007,Included,0.492626946,0.239715061,0.684,NORTH ST PAUL-MAPLEWOOD OAKDALE,CARVER ELEMENTARY,Elementary (PK-6),KG-05,yes,SUBURBS,RAMSEY,Better than expected
13,17-18,0622-01-033,0622,033,522,01,10,M,245,53,45,103,44,489,317,0.6483,High,147,0.6,Included,0.453195602,0.146804398,0.6015,NORTH ST PAUL-MAPLEWOOD OAKDALE,OAKDALE ELEMENTARY,Elementary (PK-6),KG-05,yes,SUBURBS,WASHINGTON,Better than expected
14,17-18,0622-01-034,0622,034,492,01,10,M,243,63,52,98,30,454,327,0.7203,High,128,0.526748971,Included,0.415189487,0.111559484,0.7297,NORTH ST PAUL-MAPLEWOOD OAKDALE,RICHARDSON ELEMENTARY,Elementary (PK-6),KG-05,yes,SUBURBS,RAMSEY,Better than expected
15,17-18,0622-01-035,0622,035,554,01,10,M,272,55,65,97,55,554,355,0.6408,High,152,0.558823529,Included,0.457154572,0.101668957,0.6715,NORTH ST PAUL-MAPLEWOOD OAKDALE,WEAVER ELEMENTARY,Elementary (PK-6),KG-05,yes,SUBURBS,RAMSEY,Better than expected
